"pathway","size","NES","pval","padj","n_leading_edge","cluster","cluster_size","is_representative","redundancy_flag","max_jaccard_le","max_jaccard_le_partner","max_jaccard_set","max_jaccard_set_partner","median_gene_n","max_gene_n","frac_promiscuous","category","matched_keyword","relevance_flag","top_leading_edge","keep","notes"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",184,-2.62147113406548,4.90737789029986e-17,1.22684447257496e-15,107,1,1,TRUE,"",0.032,"HALLMARK_UV_RESPONSE_UP",0.023,"HALLMARK_XENOBIOTIC_METABOLISM",1,3,0.019,"metabolic","OXIDATIVE_PHOSPHORYLATION","","COX8A;CYB5A;MFN2;CYC1;NDUFB8;NDUFS7;NDUFS6;ECH1;NDUFV1;GPX4;COX6A1;NDUFB2;SLC25A11;ATP6V1F;NDUFS8","",""
"HALLMARK_P53_PATHWAY",181,-1.79776381623556,1.44799002588752e-05,0.000144799002588752,68,2,1,TRUE,"",0.037,"HALLMARK_DNA_REPAIR",0.038,"HALLMARK_UV_RESPONSE_UP",1,2,0,"stress_proteostasis","P53","","PHLDA3;DCXR;TPD52L1;CDKN1A;TNFSF9;PLK2;NINJ1;HRAS;FOS;BAX;GADD45A;TP53;PMM1;SPHK1;BLCAP","",""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",44,-1.65878535639025,0.00751381215469613,0.028899277518062,20,3,1,TRUE,"",0.032,"HALLMARK_DNA_REPAIR",0.02,"HALLMARK_UV_RESPONSE_UP",1,3,0.05,"stress_proteostasis","REACTIVE_OXYGEN","","PRDX4;GPX4;PDLIM1;CDKN2D;GLRX2;ATOX1;NDUFS2;HMOX2;NDUFB4;CAT;SOD1;SRXN1;PRDX1;PRDX2;G6PD","",""
"HALLMARK_DNA_REPAIR",142,-1.64840689751273,0.000351696591680633,0.00293080493067194,45,4,1,TRUE,"",0.037,"HALLMARK_P53_PATHWAY",0.045,"HALLMARK_E2F_TARGETS",1,3,0.022,"stress_proteostasis","DNA_REPAIR","","USP11;GPX4;POLR2E;EDF1;POLE4;APRT;VPS28;POLR2F;ADRM1;TP53;GUK1;NCBP2;MPG;POLA1;RBX1","",""
"HALLMARK_UV_RESPONSE_UP",150,-1.6273234064465,0.000983177366402954,0.006275198026662,53,5,1,TRUE,"",0.032,"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.038,"HALLMARK_P53_PATHWAY",1,3,0.019,"stress_proteostasis","UV_RESPONSE","","CLTB;OLFM1;CYP1A1;AP2S1;DGAT1;ARRB2;ATP6V1F;MSX1;FOS;ALAS1;MRPL23;RHOB;NTRK3;PRKACA;SLC25A4","",""
"HALLMARK_XENOBIOTIC_METABOLISM",161,-1.58390447117156,0.00103037305936284,0.006275198026662,53,6,1,TRUE,"",0.034,"HALLMARK_P53_PATHWAY",0.032,"HALLMARK_UV_RESPONSE_UP",1,3,0.019,"hepatic_renal_gi","XENOBIOTIC","review: tissue mismatch","GSTM4;CYB5A;DCXR;CYP1A1;GCKR;ECH1;NINJ1;NFS1;DDT;PSMB10;ALAS1;PMM1;BCAR1;SERTAD1;PTGDS","",""
"HALLMARK_UV_RESPONSE_DN",138,1.57528319324615,0.00177482005582336,0.00887410027911678,35,7,1,TRUE,"",0.031,"HALLMARK_MITOTIC_SPINDLE",0.027,"HALLMARK_G2M_CHECKPOINT",1,3,0.029,"stress_proteostasis","UV_RESPONSE","","BMPR1A;CDC42BPA;DLG1;MET;SFMBT1;SMAD3;AGGF1;LTBP1;NIPBL;GCNT1;NOTCH2;IGF1R;TJP1;EFEMP1;ATRN","",""
"HALLMARK_PROTEIN_SECRETION",94,1.67013877079311,0.00112953564479916,0.006275198026662,41,8,1,TRUE,"",0.015,"HALLMARK_E2F_TARGETS",0.012,"HALLMARK_UV_RESPONSE_UP",1,2,0,"stress_proteostasis","PROTEIN_SECRETION","","RPS6KA3;IGF2R;GALC;USO1;ATP6V1B1;CLTC;MAPK1;ADAM10;CLCN3;AP3B1;TMX1;MON2;KRT18;ATP7A;ANP32E","",""
"HALLMARK_E2F_TARGETS",194,2.12063045681886,1.3388191802257e-09,1.67352397528212e-08,93,9,1,TRUE,"",0.25,"HALLMARK_G2M_CHECKPOINT",0.223,"HALLMARK_G2M_CHECKPOINT",2,3,0.151,"cell_cycle","E2F","","IPO7;WEE1;BRCA1;PRKDC;RAD51AP1;BRCA2;DEK;GINS4;SYNCRIP;MSH2;SMC3;SRSF1;BUB1B;MMS22L;POLA2","",""
"HALLMARK_MITOTIC_SPINDLE",198,2.17852156710282,2.72897006543291e-10,4.54828344238818e-09,97,10,1,TRUE,"",0.176,"HALLMARK_G2M_CHECKPOINT",0.108,"HALLMARK_G2M_CHECKPOINT",1,3,0.155,"cell_cycle","MITOTIC","","AKAP13;TLK1;CDC27;PCM1;ARHGAP5;CDC42BPA;DLG1;SASS6;KNTC1;ITSN1;ABI1;CNTRL;KIF20B;BRCA2;EZR","",""
"HALLMARK_G2M_CHECKPOINT",187,2.58446723282138,2.28718752380693e-17,1.14359376190347e-15,117,11,1,TRUE,"",0.25,"HALLMARK_E2F_TARGETS",0.223,"HALLMARK_E2F_TARGETS",2,3,0.128,"cell_cycle","G2M","","CDC27;HIF1A;KIF20B;SMAD3;BRCA2;KIF5B;SLC12A2;POLQ;SYNCRIP;NOTCH2;CUL4A;SRSF10;HNRNPU;RAD23B;SRSF1","",""
