"pathway","size","NES","pval","padj","n_leading_edge","cluster","cluster_size","is_representative","redundancy_flag","max_jaccard_le","max_jaccard_le_partner","max_jaccard_set","max_jaccard_set_partner","median_gene_n","max_gene_n","frac_promiscuous","category","matched_keyword","relevance_flag","top_leading_edge","keep","notes"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",184,-2.49683671284681,7.43010725405126e-16,1.23835120900854e-14,80,1,1,TRUE,"",0.14,"HALLMARK_ADIPOGENESIS",0.114,"HALLMARK_ADIPOGENESIS",1,5,0.112,"metabolic","OXIDATIVE_PHOSPHORYLATION","","CYB5A;MFN2;ETFDH;MGST3;UQCRH;GRPEL1;COX6B1;UQCRB;COX4I1;MRPL35;NDUFS2;UQCRQ;COX6C;AIFM1;SLC25A4","",""
"HALLMARK_P53_PATHWAY",181,-2.02290252690327,1.91133283096744e-07,2.38916603870931e-06,82,2,1,TRUE,"",0.075,"HALLMARK_APOPTOSIS",0.062,"HALLMARK_APOPTOSIS",1,4,0.122,"stress_proteostasis","P53","","CDKN1A;PTPRE;ZMAT3;BLCAP;PLK2;PVT1;PHLDA3;SESN1;TP53;DDB2;S100A10;STOM;RPS27L;TCHH;FDXR","",""
"HALLMARK_HYPOXIA",183,-1.83774670281976,9.21171507184693e-06,7.67642922653911e-05,64,3,1,TRUE,"",0.15,"HALLMARK_MTORC1_SIGNALING",0.084,"HALLMARK_MTORC1_SIGNALING",2,4,0.203,"stress_proteostasis","HYPOXIA","","CDKN1A;DTNA;PHKG1;PYGM;ANXA2;PDK3;ENO2;CAV1;XPNPEP1;CXCR4;AK4;SCARB1;PRDX5;HK1;PGK1","",""
"HALLMARK_FATTY_ACID_METABOLISM",137,-1.79569659055891,5.20977441679975e-05,0.000372126744057125,41,4,1,TRUE,"",0.105,"HALLMARK_PEROXISOME",0.105,"HALLMARK_PEROXISOME",2,5,0.366,"metabolic","FATTY_ACID","","XIST;ETFDH;CYP4A11;PCBD1;UROS;BLVRA;S100A10;ENO2;TP53INP2;SLC22A5;EHHADH;SDHA;NSDHL;CRAT;MDH2","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",69,-1.78033754339615,0.000854293734713713,0.00388315333960778,30,5,1,TRUE,"",0.143,"HALLMARK_MTORC1_SIGNALING",0.075,"HALLMARK_MTORC1_SIGNALING",2,5,0.233,"metabolic","CHOLESTEROL","","ACSS2;FABP5;PDK3;NSDHL;CYP51A1;DHCR7;HMGCS1;EBP;ALDOC;SCD;SC5D;SREBF2;FDPS;FADS2;MVD","",""
"HALLMARK_PEROXISOME",99,-1.74530224875078,0.000362283652788071,0.00226427282992544,43,6,1,TRUE,"",0.243,"HALLMARK_BILE_ACID_METABOLISM",0.22,"HALLMARK_BILE_ACID_METABOLISM",2,5,0.326,"metabolic","PEROXISOME","","SEMA3C;RXRG;TTR;SCGB1A1;SLC25A4;CADM1;PRDX5;EHHADH;CRAT;FDPS;ALB;FIS1;HSD11B2;CLN8;ACSL4","",""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",44,-1.65731387613201,0.00713073005093379,0.0198075834748161,19,7,1,TRUE,"",0.051,"HALLMARK_PEROXISOME",0.027,"HALLMARK_PEROXISOME",1,5,0.263,"stress_proteostasis","REACTIVE_OXYGEN","","PDLIM1;PRDX4;NDUFS2;GSR;PFKP;ATOX1;TXNRD2;CDKN2D;G6PD;LAMTOR5;PRDX1;SOD1;SRXN1;NDUFB4;CAT","",""
"HALLMARK_ADIPOGENESIS",181,-1.64169155563506,0.000420181706873839,0.00233434281596577,83,8,1,TRUE,"",0.14,"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.114,"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2,5,0.253,"metabolic","ADIPOGENESIS","","STAT5A;PTGER3;MGST3;GRPEL1;STOM;UQCRQ;AIFM1;SCARB1;HSPB8;CRAT;MDH2;DHCR7;COX7B;SNCG;IMMT","",""
"HALLMARK_APOPTOSIS",141,-1.59498013759176,0.00225008363832436,0.00865416783970909,62,9,1,TRUE,"",0.089,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.062,"HALLMARK_P53_PATHWAY",1.5,5,0.258,"stress_proteostasis","APOPTOSIS","","GSTM1;CDKN1A;ENO2;PPP2R5B;CAV1;FDXR;VDAC2;BAX;CCND2;SAT1;LEF1;EBP;FEZ1;GSR;SC5D","",""
"HALLMARK_BILE_ACID_METABOLISM",95,-1.59027112359599,0.00436963910017802,0.0136551221880563,44,10,1,TRUE,"",0.243,"HALLMARK_PEROXISOME",0.22,"HALLMARK_PEROXISOME",1,5,0.295,"hepatic_renal_gi","BILE_ACID","review: tissue mismatch","SLC22A18;ABCG8;RXRG;RBP1;TTR;FDXR;SLCO1A2;PRDX5;PEX26;BCAR3;OPTN;ABCA4;ALDH8A1;FADS2;PEX7","",""
"HALLMARK_MTORC1_SIGNALING",192,-1.57263794641947,0.000699385552831221,0.00349692776415611,74,11,1,TRUE,"",0.15,"HALLMARK_HYPOXIA",0.084,"HALLMARK_HYPOXIA",2,5,0.297,"metabolic","MTORC1","","CDKN1A;HPRT1;HSPA4;GOT1;FDXR;CXCR4;AK4;PGK1;PPIA;CYP51A1;DHCR7;GAPDH;HMGCS1;EBP;IMMT","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",185,-1.5478458552875,0.00177936294782527,0.00741401228260528,85,12,1,TRUE,"",0.089,"HALLMARK_APOPTOSIS",0.052,"HALLMARK_APOPTOSIS",1,4,0.059,"epithelial_adhesion","EPITHELIAL_MESENCHYMAL","review: tissue mismatch","TPM1;MSX1;LAMC2;DKK1;SLIT3;ENO2;SERPINE2;CADM1;SGCB;SAT1;PTHLH;FUCA1;APLP1;PCOLCE2;IGFBP4","",""
"HALLMARK_XENOBIOTIC_METABOLISM",161,-1.53477070716014,0.0026246719160105,0.00937382827146607,67,13,1,TRUE,"",0.056,"HALLMARK_ADIPOGENESIS",0.075,"HALLMARK_FATTY_ACID_METABOLISM",1,5,0.164,"hepatic_renal_gi","XENOBIOTIC","review: tissue mismatch","CYB5A;HPRT1;ETFDH;GSTM4;ETS2;BLVRB;AKR1C2;GCKR;CYP2E1;MPP2;NFS1;PROS1;PTGES;IGFBP4;GSTO1","",""
