"day","pathway_a","pathway_b","n_le_a","n_le_b","shared_le","jaccard_le","containment_le","size_a","size_b","shared_set","jaccard_set","containment_set","same_cluster"
"d120","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",58,56,28,0.326,0.5,157,84,73,0.326,0.753,FALSE
"d120","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INTERFERON_GAMMA_RESPONSE",21,58,8,0.113,0.381,59,157,22,0.083,0.253,FALSE
"d120","HALLMARK_COAGULATION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",37,83,8,0.071,0.216,101,185,18,0.056,0.13,FALSE
"d120","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_IL6_JAK_STAT3_SIGNALING",63,21,3,0.037,0.143,171,59,18,0.067,0.207,FALSE
